Primary key	Level 1	Level 2	Level 3/Subsystem Name
500	Clustering-based subsystems	 Tartronate-semialdehyde related area (links to pyridoxine and aldorate metabolism)	CBSS-502800.3.peg.2785
501	Clustering-based subsystems	alpha-proteobacterial cluster of hypotheticals	CBSS-52598.3.peg.2843
503	Clustering-based subsystems	A bicyclomycin resistance protein, a helicase, and a pseudouridine synthase	CBSS-584.1.peg.841
504	Clustering-based subsystems	Membrane-bound hydrogenase	CBSS-69014.3.peg.2094
505	Clustering-based subsystems	Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	CBSS-83331.1.peg.3039
507	Clustering-based subsystems	tRNA sulfuration	CBSS-89187.3.peg.2957
549	Clustering-based subsystems	Cell Division	Cell Division Cluster
550	Clustering-based subsystems	Cell Division	Cell Division Subsystem including YidCD
552	Clustering-based subsystems	Cell Division	Cell division cluster containing FtsZ and FtsW
581	Clustering-based subsystems	proteosome related	Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related
774	Clustering-based subsystems	Putrescine/GABA utilization cluster-temporal,to add to SSs	GABA and putrescine metabolism from cluters
826	Clustering-based subsystems	heat shock, cell division, proteases, and a methyltransferase	Heat shock Cell division Proteases and a Methyltransferase
850	Clustering-based subsystems	Hypothetical associated with RecF	Hypothetical Coupled to RecF
851	Clustering-based subsystems	Hypothetical Related to Dihydroorate Dehydrogenase	Hypothetical Related to Dihydroorotate dehydrogenase
1202	Clustering-based subsystems	Proteasome related clusters	Proteasome subunit alpha archaeal cluster
1226	Clustering-based subsystems	Streptococcus cluster: maybe related to transport	Putative Toxic Anion Resistance Operon
1277	Clustering-based subsystems	clustering of 2 heat shock proteins, phosphoenolpyruvate carboxykinase and a putative hydrolase	Rcs negative regulator IgaA
108	Clustering-based subsystems	-	Sporulation-related Hypotheticals
160	Clustering-based subsystems	-	TenI-like tautomerase
346	Clustering-based subsystems	-	Bacterial Cell Division
388	Clustering-based subsystems	-	tRNA-methylthiotransferase containing cluster
422	Clustering-based subsystems	-	A DNA integrity scanning protein that co-occurs with RadA
430	Clustering-based subsystems	-	CBSS-100226.1.peg.2266
439	Clustering-based subsystems	-	CBSS-196620.1.peg.2477
445	Clustering-based subsystems	-	CBSS-208964.1.peg.1012
446	Clustering-based subsystems	-	CBSS-211586.1.peg.2357
447	Clustering-based subsystems	-	CBSS-211586.1.peg.3133
449	Clustering-based subsystems	-	CBSS-216592.1.peg.3937
460	Clustering-based subsystems	-	CBSS-262719.3.peg.410
465	Clustering-based subsystems	-	CBSS-279010.5.peg.3195
467	Clustering-based subsystems	-	CBSS-280355.3.peg.2835
468	Clustering-based subsystems	-	CBSS-281090.3.peg.464
470	Clustering-based subsystems	-	CBSS-292415.3.peg.2341
474	Clustering-based subsystems	-	CBSS-316057.3.peg.563
476	Clustering-based subsystems	-	CBSS-316275.9.peg.382
479	Clustering-based subsystems	-	CBSS-318161.14.peg.2599
480	Clustering-based subsystems	-	CBSS-320372.3.peg.6046
491	Clustering-based subsystems	-	CBSS-350688.3.peg.1509
498	Clustering-based subsystems	-	CBSS-498211.3.peg.1514
502	Clustering-based subsystems	-	CBSS-56780.10.peg.1536
553	Clustering-based subsystems	-	Cell division-ribosomal stress proteins cluster
590	Clustering-based subsystems	-	Coenzyme B12 related Hypothetical: Clusters with cobST
710	Clustering-based subsystems	-	EC699-706
892	Clustering-based subsystems	-	LMPTP YwlE cluster
915	Clustering-based subsystems	-	Lipopolysaccharide assembly cluster
1073	Clustering-based subsystems	-	NusA-TFII Cluster
1227	Clustering-based subsystems	-	Putative diaminopropionate ammonia-lyase cluster
1229	Clustering-based subsystems	-	Putative hemin transporter
1275	Clustering-based subsystems	-	RP Bacterial Cell Division
181	Cofactors, Vitamins, Prosthetic Groups, Pigments	Thiamin	ThiD ThiE fusions
17	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD biosynthesis in plants
18	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended
167	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Test - DHFR
168	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Test - Riboflavin
170	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Test - Thiamin
171	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Test Pyridoxin B6
182	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Thiamin Copy RZ
183	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Thiamin biosynthesis
184	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Thiamin biosynthesis LDP
185	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Thiamin biosynthesis in plants
187	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Thiamine-biosynthesis
194	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Tocopherols and tocotrienols (vitamin E) in plants and cyanobacteria
229	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 duf71
239	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	BEY LIP
257	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis
259	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone biosynthesis -- gjo
260	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone biosynthesis in plants
306	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	YgfZ
327	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	coA-FolK
328	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme M	coenzyme M biosynthesis
331	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	dcernst CoA Salvage
332	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	dephospho-tetrahydromethanopterin biosynthesis MYousef
333	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	ergothioneine biosynthesis
337	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	methanopterin biosynthesis
340	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	mycofactocin system
343	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	p-Aminobenzoyl-Glutamate Utilization
353	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD
404	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
409	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Bilin Biosynthesis
417	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis
418	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis in plants
419	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis & utilization
511	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	CLO thiaminPP biosynthesis
548	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	CbiZ Main
564	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Chlorophyll Biosynthesis in plants and prokaryotes
565	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Chlorophyll Degradation
583	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin
584	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin Dh
585	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis
587	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis
588	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme B	Coenzyme B synthesis
589	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis
592	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme F420	Coenzyme F420 synthesis
594	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Coenzyme PQQ synthesis
595	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme M	CoenzymeM Archaea
614	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Core tetrapyrrole biosynthesis in plants
720	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Ergothioneine Cyano
730	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Experimental ThMP RZ
737	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme F420	F420 bobik
745	Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S cluster assembly
756	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin
759	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis
760	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate biosynthesis in plants
762	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	FolateExerciseMaizeClassVDC
830	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme biosynthesis in plants
831	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme biosynthesis orphans
912	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoate  transport
913	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism
952	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone Biosynthesis via Futalosine
953	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis
955	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate
956	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-6-naphthoate
960	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Methanofuran
961	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Methanofuran erick jmorales
966	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Methanopterin biosynthesis2
983	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis
984	Cofactors, Vitamins, Prosthetic Groups, Pigments	-	Molybdopterin cytosine dinucleotide
1044	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global
1045	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD regulation
1054	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	Niacin, NAD and NADP biosynthesis in plants
1094	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Pantothenate and CoA biosynthesis in plants
1168	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Plastoquinone Biosynthesis
1169	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Plastoquinone biosynthesis in plants
1216	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Pterin biosynthesis
1218	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Pterin carbinolamine dehydratase
1219	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Pterin metabolism
1220	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Pterin metabolism 3
1233	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis
1234	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin(Vitamin B6) Degradation Pathway
1235	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxine (vitamin B6) biosynthesis in plants
1239	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Pyrroloquinoline Quinone biosynthesis
1254	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Quinone disambuiguation
12	DNA Metabolism	-	Restriction-Modification System
46	DNA Metabolism	DNA recombination	RuvABC plus a hypothetical
243	DNA Metabolism	-	Type I Restriction-Modification
275	DNA Metabolism	DNA repair	Uracil-DNA glycosylase
304	DNA Metabolism	-	YcfH
315	DNA Metabolism	DNA repair	2-phosphoglycolate salvage
521	DNA Metabolism	CRISPs	CRISP Cmr Cluster
522	DNA Metabolism	CRISPs	CRISPR-associated cluster
523	DNA Metabolism	CRISPs	CRISPRs
597	DNA Metabolism	DNA repair	ATP-dependent Nuclease
603	DNA Metabolism	DNA uptake, competence	Competence in Streptococci
650	DNA Metabolism	DNA replication	DNA Helicase of Unknown Function
652	DNA Metabolism	DNA repair	DNA Repair Base Excision
653	DNA Metabolism	-	DNA phosphorothioation
654	DNA Metabolism	DNA uptake, competence	DNA processing cluster
655	DNA Metabolism	DNA recombination	DNA recombination, archaeal
656	DNA Metabolism	DNA repair	DNA repair and recombination eukaryotic
657	DNA Metabolism	DNA repair	DNA repair, UvrABC system
658	DNA Metabolism	DNA repair	DNA repair, bacterial
659	DNA Metabolism	DNA repair	DNA repair, bacterial DinG and relatives
660	DNA Metabolism	DNA repair	DNA repair, bacterial MutL-MutS system
661	DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway
664	DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway
665	DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system
666	DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases
667	DNA Metabolism	DNA repair	DNA repair, bacterial photolyase
668	DNA Metabolism	DNA replication	DNA replication, archaeal
669	DNA Metabolism	-	DNA structural proteins, bacterial
670	DNA Metabolism	DNA replication	DNA topoisomerases, Type I, ATP-independent
671	DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent
673	DNA Metabolism	DNA replication	DNA-replication
815	DNA Metabolism	DNA uptake, competence	Gram Positive Competence
899	DNA Metabolism	DNA uptake, competence	Late competence
1051	DNA Metabolism	DNA uptake, competence	Natural DNA Transformation in Vibrio
1063	DNA Metabolism	DNA repair	Nonhomologous End-Joining in Bacteria
1067	DNA Metabolism	-	Nucleoid-associated proteins in Bacteria
1165	DNA Metabolism	DNA replication	Plasmid replication
1280	DNA Metabolism	DNA repair	RecA and RecX
84	Dormancy and Sporulation	Spore DNA protection	Small acid-soluble spore proteins
96	Dormancy and Sporulation	-	SpoVS protein family
97	Dormancy and Sporulation	-	Spore Core Dehydration
98	Dormancy and Sporulation	-	Spore germination
99	Dormancy and Sporulation	-	Spore pigment biosynthetic cluster in Actinomycetes
101	Dormancy and Sporulation	-	Sporulation Cluster
104	Dormancy and Sporulation	-	Sporulation Cluster III A
105	Dormancy and Sporulation	-	Sporulation draft
106	Dormancy and Sporulation	-	Sporulation gene orphans
107	Dormancy and Sporulation	-	Sporulation-associated proteins with broader functions
271	Dormancy and Sporulation	-	Bacillus Sporulation Killing Factor A Biosynthetic Cluster
282	Dormancy and Sporulation	-	Bacillus biofilm matrix protein component TasA and homologs
691	Dormancy and Sporulation	Spore DNA protection	Dipicolinate Synthesis
729	Dormancy and Sporulation	-	Exosporium
735	Dormancy and Sporulation	-	F1453 mlsummers
1113	Dormancy and Sporulation	-	Persister Cells
93	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Sphingolipid biosynthesis
94	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Sphingolipid biosynthesis in plants
226	Fatty Acids, Lipids, and Isoprenoids	Triacylglycerols	Triacylglycerol metabolism
227	Fatty Acids, Lipids, and Isoprenoids	Triacylglycerols	Triacylglycerol metabolism in plants
270	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Unsaturated Fatty Acid Metabolism
272	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Unsaturated Fatty Acid biosynthesis in plants
285	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Very long  fatty acid biosynthesis in plants
320	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	archaeal lipids bobik
349	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	polyprenyl synthesis
407	Fatty Acids, Lipids, and Isoprenoids	-	Betaine lipids in bactera
508	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	CDP-diacylglycerol biosynthesis in plants
543	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Cardiolipin biosynthesis in plants
544	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Carnitine Metabolism in Microorganisms
545	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoid biosynthesis
546	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids
568	Fatty Acids, Lipids, and Isoprenoids	-	Cholesterol catabolic operon in Mycobacteria
571	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Choline biosynthesis in plants
625	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Cyclopropane and cyclopropene fatty acids biosynthesis in plants
707	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Acetyl-CoA carboxylase complexes in plants
727	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Acyclic terpenes utilization
739	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty Acid Biosynthesis FASI
740	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty Acid Biosynthesis FASII
741	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty acid biosynthesis in plants (mitochondrial)
742	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty acid biosynthesis in plants (plastidial)
743	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty acid degradation regulons
747	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Acyl-CoA thioesterase II
802	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria
813	Fatty Acids, Lipids, and Isoprenoids	-	Glycosylglycerides biosynthesis in plants
825	Fatty Acids, Lipids, and Isoprenoids	-	Head-to-head olefinic hydrocarbon biosynthesis
873	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoid Biosynthesis
874	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoid Biosynthesis: Interconversions
875	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoid biosynthesis in plants, mevalonate branch
876	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoid biosynthesis in plants, nonmevalonate branch
877	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoid scratch
878	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoinds for Quinones
891	Fatty Acids, Lipids, and Isoprenoids	-	Alkane synthesis in bacteria 2
998	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)
999	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Mycobacterial FadE proteins Acyl-CoA dehydrogenase
1000	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Mycobacterial HadABC proteins ((3R)-hydroxyacyl-ACP dehydrates of FASII)
1015	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics
1037	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Myxoxanthophyll biosynthesis in Cyanobacteria
1064	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Nonmevalonate Branch of Isoprenoid Biosynthesis
1092	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	PUFA enrichment in oilseed in plants
1101	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Archaeal lipids
1144	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Phosphatidylcholine biosynthesis in plants
1146	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Phosphatidylethanolamine biosynthesis in plants
1147	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Phosphatidylglycerol biosynthesis in plants
1151	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid and Fatty acid biosynthesis related cluster
1152	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Phospholipid desaturation in plants
1172	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Poly-hydroxy fatty acids metabolism in plants
1177	Fatty Acids, Lipids, and Isoprenoids	-	Polyhydroxybutyrate metabolism
1179	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Polyprenyl Diphosphate Biosynthesis
1181	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Polyunsaturated Fatty Acids synthesis
1182	Fatty Acids, Lipids, and Isoprenoids	-	Polyunsaturated fatty acids biosynthesis in plants
1230	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Putative oxidase COG2907
53	Iron acquisition and metabolism	Siderophores	Salmochelin-mediated Iron Acquisition
67	Iron acquisition and metabolism	Siderophores	Siderophore Achromobactin
68	Iron acquisition and metabolism	Siderophores	Siderophore Aerobactin
70	Iron acquisition and metabolism	Siderophores	Siderophore Desferrioxamine E
71	Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin
72	Iron acquisition and metabolism	Siderophores	Siderophore Pyoverdine
73	Iron acquisition and metabolism	Siderophores	Siderophore Staphylobactin
74	Iron acquisition and metabolism	Siderophores	Siderophore Yersiniabactin Biosynthesis
75	Iron acquisition and metabolism	Siderophores	Siderophore [Alcaligin-like]
76	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
77	Iron acquisition and metabolism	Siderophores	Siderophore pyochelin
217	Iron acquisition and metabolism	-	Transport of Iron
261	Iron acquisition and metabolism	Siderophores	Bacillibactin Siderophore
289	Iron acquisition and metabolism	Siderophores	Vibrioferrin synthesis
317	Iron acquisition and metabolism	Siderophores	acinetobacter siderophore assembly
530	Iron acquisition and metabolism	-	Campylobacter Iron Metabolism
573	Iron acquisition and metabolism	-	ABC-type iron transport system
750	Iron acquisition and metabolism	-	Ferrous iron transporter EfeUOB, low-pH-induced
832	Iron acquisition and metabolism	-	Heme, hemin uptake and utilization systems in GramPositives
833	Iron acquisition and metabolism	-	Hemin transport system
847	Iron acquisition and metabolism	Siderophores	Alcaligin Siderophore
864	Iron acquisition and metabolism	-	Iron Scavenging cluster in Thermus
865	Iron acquisition and metabolism	-	Iron acquisition in Streptococcus
866	Iron acquisition and metabolism	-	Iron acquisition in Vibrio
867	Iron acquisition and metabolism	Siderophores	Iron siderophore sensor & receptor system
868	Iron acquisition and metabolism	-	Iron(III) dicitrate transport system Fec
1115	Iron acquisition and metabolism	Siderophores	Petrobactin-mediated iron uptake system
1260	Iron acquisition and metabolism	-	RCJ pfr
16	Membrane Transport	-	Riboflavin transporters
57	Membrane Transport	Protein translocation across cytoplasmic membrane	SecY2-SecA2 Specialized Transport System
86	Membrane Transport	Uni- Sym- and Antiporters	Sodium Hydrogen Antiporter
133	Membrane Transport	Sugar Phosphotransferase Systems, PTS	Sucrose-specific PTS
145	Membrane Transport	Protein secretion system, Type VI	T6SS BR
175	Membrane Transport	Protein secretion system, Chaperone-Usher pathway (CU)	The fimbrial Sfm cluster
176	Membrane Transport	Protein secretion system, Chaperone-Usher pathway (CU)	The fimbrial Stf cluster
179	Membrane Transport	Protein secretion system, Chaperone-Usher pathway (CU)	The usher protein HtrE fimbrial cluster
199	Membrane Transport	-	Ton and Tol transport systems
200	Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Toxin co-regulated pilus
218	Membrane Transport	-	Transport of Manganese
219	Membrane Transport	-	Transport of Molybdenum
220	Membrane Transport	-	Transport of Nickel and Cobalt
221	Membrane Transport	-	Transport of Zinc
230	Membrane Transport	-	Tricarboxylate transport system
234	Membrane Transport	Protein translocation across cytoplasmic membrane	Twin-arginine translocation system
241	Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type 4 conjugative transfer system, IncI1 type
244	Membrane Transport	Protein secretion system, Type III	Type III secretion system
245	Membrane Transport	Protein secretion system, Type III	Type III secretion system orphans
247	Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus
248	Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems
293	Membrane Transport	Protein secretion system, Type II	Widespread colonization island
348	Membrane Transport	Protein and nucleoprotein secretion system, Type IV	pVir Plasmid of Campylobacter
477	Membrane Transport	TRAP transporters	A TRAP transporter and a hypothetical
510	Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)
520	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)
531	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)
541	Membrane Transport	ABC transporters	ABC transporter of unknown substrate X
551	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)
561	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)
569	Membrane Transport	-	Choline Transport
577	Membrane Transport	-	Citrate Utilization System (CitAB, CitH, and tctABC)
600	Membrane Transport	Protein secretion system, Chaperone-Usher pathway (CU)	Colonization factor antigen I fimbriae
617	Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli production
619	Membrane Transport	ABC transporters	ATP-dependent efflux pump transporter Ybh
693	Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Dot-Icm type IV secretion system
711	Membrane Transport	-	ECF class transporters
712	Membrane Transport	Protein secretion system, Type VII	ESAT-6 proteins secretion system in Firmicutes
713	Membrane Transport	Protein secretion system, Type VII	ESAT-6 proteins secretion system in Mycobacteria (locus ESX-1)
770	Membrane Transport	Sugar Phosphotransferase Systems, PTS	Fructose and Mannose Inducible PTS
778	Membrane Transport	Sugar Phosphotransferase Systems, PTS	Galactose-inducible PTS
781	Membrane Transport	Protein secretion system, Type II	General Secretion Pathway
818	Membrane Transport	-	Agrobacterium opine transport
844	Membrane Transport	Protein translocation across cytoplasmic membrane	HtrA and Sec secretion
946	Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Mannose-sensitive hemagglutinin type 4 pilus
1046	Membrane Transport	Uni- Sym- and Antiporters	Na(+) H(+) antiporter
1099	Membrane Transport	ABC transporters	Peptide ABC transport system Sap
1110	Membrane Transport	ABC transporters	Periplasmic-Binding-Protein-Dependent Transport System for &#945;-Glucosides
1149	Membrane Transport	-	Phosphoglycerate transport system
1187	Membrane Transport	Protein secretion system, Type II	Predicted secretion system X
1212	Membrane Transport	Uni- Sym- and Antiporters	Proton-dependent Peptide Transporters
50	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Salicylate and gentisate catabolism
51	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Salicylate ester degradation
196	Metabolism of Aromatic Compounds	-	Toluene 4-monooxygenase (T4MO)
198	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Toluene degradation
284	Metabolism of Aromatic Compounds	-	Vanillate and syringate utilization
324	Metabolism of Aromatic Compounds	-	carbazol degradation cluster
342	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	n-Phenylalkanoic acid degradation
344	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	p-Hydroxybenzoate degradation
345	Metabolism of Aromatic Compounds	-	p-cymene degradation
393	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
399	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Benzoate catabolism
